what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1351763084441
arch,sysinfo,,,"x86",1351763084441
ws,sysinfo,,,"gtk",1351763084441
locale,sysinfo,,,"uk_UA",1351763084441
processors,sysinfo,,,"1",1351763084441
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351763084441
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1351763084441
java.specification.name,sysinfo,,,"Java Platform API Specification",1351763084441
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351763084441
java.specification.version,sysinfo,,,"1.6",1351763084441
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1351763084441
java.version,sysinfo,,,"1.6.0_23",1351763084441
java.vm.info,sysinfo,,,"mixed mode, sharing",1351763084441
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351763084441
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351763084441
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351763084441
java.vm.specification.version,sysinfo,,,"1.0",1351763084441
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1351763084441
java.vm.version,sysinfo,,,"19.0-b09",1351763084441
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1351763084914
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1351763085485
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1351763085567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1351763087504
